feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins,max_dismissal_rate,avg_dismissal_rate,best_dismissal_value
EVACUATION.HEIGHT.DESCENDING.REQUIRES_MULTIPLE_EXITS,103.20674216000988,103.1931751510426,0.013567008967285688,0.25,0.05426803586914275,2,True,"[(None, 1.0), (1.0, None)]",0.0,0.0,≤1.0
STRUCTURAL_ELEMENTS.FIRE_EXPOSURE_TIME.ADOPTED_FROM_SI_6,103.20674216000988,103.1931928231858,0.013549336824084435,0.25,0.05419734729633774,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
STAIRS.CONNECTS_DIFFERENT_FIRE_SECTORS,103.20674216000988,103.19324316496046,0.013498995049417317,0.25,0.05399598019766927,2,True,"[(None, 1.0), (1.0, None)]",0.0,0.0,≤1.0
STEEL.PLATE.PROTRUSION,103.20674216000988,103.193320892413,0.013421267596882558,0.25,0.05368507038753023,2,True,"[(None, 0.0), (0.0, None)]",0.0024630541871921183,0.0024630541871921183,≤0.0
BUILDING.HAS_PERMANENT_CONTROL_POST_DURING_ACTIVITY_HOURS,103.20674216000988,103.19339184227746,0.013350317732417238,0.25,0.053401270929668954,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
ROOF.EVACUATION_PURPOSE,103.20674216000988,103.19340810329442,0.013334056715464726,0.25,0.053336226861858904,2,True,"[(None, 0.0), (0.0, None)]",0.0024630541871921183,0.0024630541871921183,≤0.0
BEAM.LATERAL_BRACING.FAILURE_POSSIBLE_DURING_FIRE_EXPOSURE,103.20674216000988,103.19343118423917,0.0133109757707075,0.25,0.05324390308283,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
CORRIDOR.ACCESS_TO_SEATING_IN_ENCLOSED_VENUE,103.20674216000988,103.1934340084568,0.013308151553076186,0.25,0.053232606212304745,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
AREA.RISK_MAINLY_DUE_TO_SOLID_COMBUSTIBLE_MATERIALS,103.20674216000988,103.19347599696708,0.013266163042800372,0.25,0.05306465217120149,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
SLAB.HAS_LOWER_COATING,103.20674216000988,103.19349162354675,0.01325053646313279,0.25,0.05300214585253116,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
ROOM.IS_NOT_FOR_INSTALLATIONS_AND_EQUIPMENT,103.20674216000988,103.1935173675025,0.013224792507386951,0.25,0.052899170029547804,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
SLAB.INFILL.MATERIAL,103.20674216000988,103.1935444254272,0.01319773458267548,0.25,0.05279093833070192,2,False,"['CERAMIC', 'CONCRETE']",0.0,0.0,CERAMIC
FLOOR.IS_BUILDING_EXIT_FLOOR,103.20674216000988,103.19368342693329,0.013058733076590556,0.25,0.052234932306362225,2,True,"[(None, 1.0), (1.0, None)]",0.0049261083743842365,0.0049261083743842365,≤1.0
ROUTE.LEADS_TO_ACCESSIBLE_BUILDING_EXIT,103.20674216000988,103.19369138169432,0.013050778315559342,0.25,0.052203113262237366,2,True,"[(None, 1.0), (1.0, None)]",0.0,0.0,≤1.0
